song_name,song_id,artist,track_preview,track_img
She Wants Me Dead - CAZZETTE vs. AronChupa,2fn8m8nvi1zlGWTxfNaMgo,CAZZETTE,,https://i.scdn.co/image/ab67616d00001e02cd50734442d04af13a858953
Shuffle,2liSlNexNAwuix9JhmF8KZ,Bombay Bicycle Club,,https://i.scdn.co/image/ab67616d00001e02d8071ae1874a7cdd592b3e6c
Grandma Plays The Numbers,628ZHvFEZSdHAbp99ghlPr,Wynonie Harris,,https://i.scdn.co/image/ab67616d00001e02f8410a8d2a90dfd6d63f4516
Bris,3hffCKdLCnm0NRbMwrI4Wu,Kaizers Orchestra,,https://i.scdn.co/image/ab67616d00001e02f1934340f86823c363f87478
In My Blood,79jX8RM5CgPqDKdGEKNW9K,Shawn Mendes,,https://i.scdn.co/image/ab67616d00001e0288da297b53e5785d8ae195ab
Golden Ticket (Acoustic Version),5p12bVQX5OLBWqcTEZaNkN,Highasakite,,https://i.scdn.co/image/ab67616d00001e026aa3b07a7677752043c6ff06
A Kiss To Build A Dream On,2L3b28m7WkjHrLMuBQxQvR,Louis Armstrong,,https://i.scdn.co/image/ab67616d00001e028496ba38d3eaaa0a076be39e
Greater,6eFGvG8mkvZJjhPx9wMZGc,MercyMe,,https://i.scdn.co/image/ab67616d00001e021e6a634445675d49692b63ab
In Case You Didn't Know,2dWgzqawzDkBL8QfZw92Ub,Brett Young,,https://i.scdn.co/image/ab67616d00001e024d52cc39e23fb87f05f6731e
Sirens Call,2elJuyK9YWZW1puGAAf3rT,Cats On Trees,,https://i.scdn.co/image/ab67616d00001e0283549e3d2d36ed36b02c106f
Rockin' Around The Christmas Tree - Single Version,3Hd808dVoD2cvgAs3zJfMY,Various Artists,,https://i.scdn.co/image/ab67616d00001e02889dbd137503577a4d627306
Johnny Delusional,3ZsOgQ09tpb5avJ8PRZWVP,FFS,,https://i.scdn.co/image/ab67616d00001e029c263fb9a135ad0ed746b03f
Retrograde,03CLsFk6JSz301bKuukPSD,James Blake,,https://i.scdn.co/image/ab67616d00001e02e3248e994fec952e380f8562
Burn the Witch,3dAxzv7hkxipbuWJaOMzAl,Radiohead,,https://i.scdn.co/image/ab67616d00001e02ecaa2f9dd8c165dc0627be7e
Landfill,2EfZVAmlo67ydkGe1NwpDw,Daughter,,https://i.scdn.co/image/ab67616d00001e021d720742057a413c5bd83f67
American Money,1lheEfIE4ZyYmUXvJ7DPAM,BØRNS,,https://i.scdn.co/image/ab67616d00001e026cb06b0d95fe9c8f608c0599
I Love You All (Radio Mix) [feat. Michael Fassbender],11hDnoFlMMA3kXAADp3pOj,The Soronprfbs,,https://i.scdn.co/image/ab67616d00001e02af2d33f247f17caf78e8c73e
The Party Line,05wFHt1ZAsFU8GKbHV7nxo,Belle and Sebastian,,https://i.scdn.co/image/ab67616d00001e0212d18eea806959548513f568
Chernobyl,0jkhatWqHqW8o4HLeHZXAc,Highasakite,,https://i.scdn.co/image/ab67616d00001e0234661c924598d52ba04ab62f
Expectations,5xxfrTsLd4BJqfm18eRw9I,Belle and Sebastian,,https://i.scdn.co/image/ab67616d00001e027732be923fc9f29eef8cac96
Dem Beats,2ky2EF48bJyzdDf72AkhF6,Todrick Hall,,https://i.scdn.co/image/ab67616d00001e02998ef3ace2a9c09bbe01c965
You And Me,3ue9zcwNcoYvFqKVjG0C6r,Penny & The Quarters,,https://i.scdn.co/image/ab67616d00001e021cb6ff5838dc35256347ef9a
Feeling High,6E88mMaThm9LeSwOrjqQF6,Khwezi,,https://i.scdn.co/image/ab67616d00001e02474dbc2473327bf64ed599f8
disco tits,6E1dxU9KL2FYgjv8hM54Dx,Tove Lo,,https://i.scdn.co/image/ab67616d00001e0275c3b6771df2cf9669378d29
Dead Leaves And The Dirty Ground,4xTjyX1PVTZJftjY2dUzBi,The White Stripes,,https://i.scdn.co/image/ab67616d00001e029f5013e0918c4cab46dc0c37
Better Off Alone - Hitradio Mix,72lAIcldZMBgaeF6XwjAnC,Alice Deejay,,https://i.scdn.co/image/ab67616d00001e02c249305c873efdc641c1efa0
Years - ラジオ・エディット,2YBnNbMOUUSkqncnQgkqST,Alesso,,https://i.scdn.co/image/ab67616d00001e02cf08b52ba5a1079a7577fab8
O Children,0bzZwA8pL8U8ERddgcwxWP,Nick Cave & The Bad Seeds,,https://i.scdn.co/image/ab67616d00001e02ddf6f0ba0964190e47226663
Backyard,3tklm1PwWhuUSgavmBB5mv,Good Lovelies,,https://i.scdn.co/image/ab67616d00001e028d448926f465df30bf3b98d6
Good Morning,1sSLIYNgwa5yAFglLYMed3,Various Artists,,https://i.scdn.co/image/ab67616d00001e0209838b3cd3e8a948c163675f
Gay Bar,6s9iK4Hf5nLhdDMCnkDV3T,Electric Six,,https://i.scdn.co/image/ab67616d00001e023e1361ca3ec392dc2586bf76
Skulls,1JRgjHLYHreosUMi8fv3Vu,Röyksopp,,https://i.scdn.co/image/ab67616d00001e02e2ad072edab9a2050f283a37
